3 ; 653589 ; [3, 8, 4, 10, 13] ; 1224
3 ; 793238 ; [3, 8, 4, 10, 13] ; 1224
3 ; 462643 ; [3, 8, 4, 10, 13] ; 1224
3 ; 383279 ; [3, 8, 4, 10, 13] ; 1224
3 ; 502884 ; [3, 8, 4, 10, 13] ; 1224
3 ; 197169 ; [3, 8, 4, 10, 13] ; 1224
3 ; 399375 ; [3, 8, 4, 10, 13] ; 1224
3 ; 105820 ; [3, 8, 4, 10, 13] ; 1224
3 ; 974944 ; [3, 8, 4, 10, 13] ; 1224
3 ; 592307 ; [3, 8, 4, 10, 13] ; 1224
3 ; 816406 ; [3, 8, 4, 10, 13] ; 1224
3 ; 286208 ; [3, 8, 4, 10, 13] ; 1224
3 ; 998628 ; [3, 8, 4, 10, 13] ; 1224
3 ; 34825 ; [3, 8, 4, 10, 13] ; 1224
3 ; 342117 ; [3, 8, 4, 10, 13] ; 1224
3 ; 67982 ; [3, 8, 4, 10, 13] ; 1224
3 ; 148086 ; [3, 8, 4, 10, 13] ; 1224
3 ; 513282 ; [3, 8, 4, 10, 13] ; 1224
3 ; 306647 ; [3, 8, 4, 10, 13] ; 1224
3 ; 93844 ; [3, 8, 4, 10, 13] ; 1224
3 ; 609550 ; [3, 8, 4, 10, 13] ; 1224
3 ; 582231 ; [3, 8, 4, 10, 13] ; 1224
3 ; 725359 ; [3, 8, 4, 10, 13] ; 1224
3 ; 408128 ; [3, 8, 4, 10, 13] ; 1224
3 ; 481117 ; [3, 8, 4, 10, 13] ; 1224
3 ; 450284 ; [3, 8, 4, 10, 13] ; 1224
3 ; 102701 ; [3, 8, 4, 10, 13] ; 1224
3 ; 938521 ; [3, 8, 4, 10, 13] ; 1224
3 ; 105559 ; [3, 8, 4, 10, 13] ; 1224
4 ; 141592 ; [12, 8, 7, 9, 4] ; 883
4 ; 653589 ; [12, 8, 7, 9, 4] ; 883
4 ; 793238 ; [12, 8, 7, 9, 4] ; 883
4 ; 462643 ; [12, 8, 7, 9, 4] ; 883
4 ; 383279 ; [12, 8, 7, 9, 4] ; 883
4 ; 502884 ; [12, 8, 7, 9, 4] ; 883
4 ; 197169 ; [12, 8, 7, 9, 4] ; 883
4 ; 399375 ; [12, 8, 7, 9, 4] ; 883
4 ; 105820 ; [12, 8, 7, 9, 4] ; 883
4 ; 974944 ; [12, 8, 7, 9, 4] ; 883
4 ; 592307 ; [12, 8, 7, 9, 4] ; 883
4 ; 816406 ; [12, 8, 7, 9, 4] ; 883
4 ; 286208 ; [12, 8, 7, 9, 4] ; 883
4 ; 998628 ; [12, 8, 7, 9, 4] ; 883
4 ; 34825 ; [12, 8, 7, 9, 4] ; 883
4 ; 342117 ; [12, 8, 7, 9, 4] ; 883
4 ; 67982 ; [12, 8, 7, 9, 4] ; 883
4 ; 148086 ; [12, 8, 7, 9, 4] ; 883
4 ; 513282 ; [12, 8, 7, 9, 4] ; 883
4 ; 306647 ; [12, 8, 7, 9, 4] ; 883
4 ; 93844 ; [12, 8, 7, 9, 4] ; 883
4 ; 609550 ; [12, 8, 7, 9, 4] ; 883
4 ; 582231 ; [12, 8, 7, 9, 4] ; 883
4 ; 725359 ; [12, 8, 7, 9, 4] ; 883
4 ; 408128 ; [12, 8, 7, 9, 4] ; 883
4 ; 481117 ; [12, 8, 7, 9, 4] ; 883
4 ; 450284 ; [12, 8, 7, 9, 4] ; 883
4 ; 102701 ; [12, 8, 7, 9, 4] ; 883
4 ; 938521 ; [12, 8, 7, 9, 4] ; 883
4 ; 105559 ; [12, 8, 7, 9, 4] ; 883
5 ; 141592 ; [7, 4, 3, 5, 12] ; 1040
5 ; 653589 ; [7, 4, 3, 5, 12] ; 1040
5 ; 793238 ; [7, 4, 3, 5, 12] ; 1040
5 ; 462643 ; [7, 4, 3, 5, 12] ; 1040
5 ; 383279 ; [7, 4, 3, 5, 12] ; 1040
5 ; 502884 ; [7, 4, 3, 5, 12] ; 1040
5 ; 197169 ; [7, 4, 3, 5, 12] ; 1040
5 ; 399375 ; [7, 4, 3, 5, 12] ; 1040
5 ; 105820 ; [7, 4, 3, 5, 12] ; 1040
5 ; 974944 ; [7, 4, 3, 5, 12] ; 1040
5 ; 592307 ; [7, 4, 3, 5, 12] ; 1040
5 ; 816406 ; [7, 4, 3, 5, 12] ; 1040
5 ; 286208 ; [7, 4, 3, 5, 12] ; 1040
5 ; 998628 ; [7, 4, 3, 5, 12] ; 1040
5 ; 34825 ; [7, 4, 3, 5, 12] ; 1040
5 ; 342117 ; [7, 4, 3, 5, 12] ; 1040
5 ; 67982 ; [7, 4, 3, 5, 12] ; 1040
5 ; 148086 ; [7, 4, 3, 5, 12] ; 1040
5 ; 513282 ; [7, 4, 3, 5, 12] ; 1040
5 ; 306647 ; [7, 4, 3, 5, 12] ; 1040
5 ; 93844 ; [7, 4, 3, 5, 12] ; 1040
5 ; 609550 ; [7, 4, 3, 5, 12] ; 1040
